"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"United States","Electricity - total nuclear production","2017","Kilowatt-hours, million","838861",""
"United States","Electricity - total nuclear production","2016","Kilowatt-hours, million","839918",""
"United States","Electricity - total nuclear production","2015","Kilowatt-hours, million","830288",""
"United States","Electricity - total nuclear production","2014","Kilowatt-hours, million","830584",""
"United States","Electricity - total nuclear production","2013","Kilowatt-hours, million","822004",""
"United States","Electricity - total nuclear production","2012","Kilowatt-hours, million","801129",""
"United States","Electricity - total nuclear production","2011","Kilowatt-hours, million","821405",""
"United States","Electricity - total nuclear production","2010","Kilowatt-hours, million","838931",""
"United States","Electricity - total nuclear production","2009","Kilowatt-hours, million","830210",""
"United States","Electricity - total nuclear production","2008","Kilowatt-hours, million","837804",""
"United States","Electricity - total nuclear production","2007","Kilowatt-hours, million","836634",""
"United States","Electricity - total nuclear production","2006","Kilowatt-hours, million","816195",""
"United States","Electricity - total nuclear production","2005","Kilowatt-hours, million","810726",""
"United States","Electricity - total nuclear production","2004","Kilowatt-hours, million","813339",""
"United States","Electricity - total nuclear production","2003","Kilowatt-hours, million","787818",""
"United States","Electricity - total nuclear production","2002","Kilowatt-hours, million","804519",""
"United States","Electricity - total nuclear production","2001","Kilowatt-hours, million","792604",""
"United States","Electricity - total nuclear production","2000","Kilowatt-hours, million","797718",""
"United States","Electricity - total nuclear production","1999","Kilowatt-hours, million","771811",""
"United States","Electricity - total nuclear production","1998","Kilowatt-hours, million","714124",""
"United States","Electricity - total nuclear production","1997","Kilowatt-hours, million","666363",""
"United States","Electricity - total nuclear production","1996","Kilowatt-hours, million","715212",""
"United States","Electricity - total nuclear production","1995","Kilowatt-hours, million","713806",""
"United States","Electricity - total nuclear production","1994","Kilowatt-hours, million","678920",""
"United States","Electricity - total nuclear production","1993","Kilowatt-hours, million","646987",""
"United States","Electricity - total nuclear production","1992","Kilowatt-hours, million","655970",""
"United States","Electricity - total nuclear production","1991","Kilowatt-hours, million","649399",""
"United States","Electricity - total nuclear production","1990","Kilowatt-hours, million","611589",""

"fnSeqID","Footnote"
"1","Estimate"
